Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.572489536457186,0.8309231484260774,0.9162238140990264
test_set\testing-images\1004.nii.gz,0.07658736055387698,0.06305051469807917,0.7953543493718891
test_set\testing-images\1005.nii.gz,0.03310830855494235,0.9270674758899917,0.004674483704511473
test_set\testing-images\1018.nii.gz,0.016480527528251996,4.524549072128099e-06,0.13666140898258056
test_set\testing-images\1024.nii.gz,0.6502434054115249,0.9076720733134745,0.9516605763164578
test_set\testing-images\1025.nii.gz,0.8395678047348011,0.9136537540795664,0.9534487908989185
test_set\testing-images\1038.nii.gz,0.013757099499181288,0.9308609505233327,0.0008726679814098755
test_set\testing-images\1101.nii.gz,0.8541120381406436,0.9109943508848832,0.9520675160837173
test_set\testing-images\1104.nii.gz,0.7201387471944501,0.8756702035501138,0.9400929212325622
test_set\testing-images\1107.nii.gz,0.8107491949502722,0.8378623506830438,0.9211555429529471
test_set\testing-images\1110.nii.gz,0.0322338096295816,9.166385946097067e-06,0.12185720184194684
test_set\testing-images\1113.nii.gz,0.428918538727141,0.009948165702275183,0.6527491575849376
test_set\testing-images\1116.nii.gz,0.021815976607743835,0.9296114425592545,0.002705302530051935
test_set\testing-images\1119.nii.gz,0.02832363572247201,0.36830950543325125,0.03315385774703679
test_set\testing-images\1122.nii.gz,0.11541478925553851,0.0,0.9192135237999276
test_set\testing-images\1125.nii.gz,0.04946334254423567,0.9178477607151652,0.0015540830665938012
test_set\testing-images\1128.nii.gz,0.06839571656798182,0.45264446786671697,0.020865613056502426
