Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.736302239374397,0.9109896252571327,0.9503408932708461
test_set\testing-images\1004.nii.gz,0.8512776719437692,0.9485603397649222,0.9647685000759053
test_set\testing-images\1005.nii.gz,0.8283053660335608,0.9149575489254237,0.9427338823509248
test_set\testing-images\1018.nii.gz,0.8335146022155085,0.9300978810266696,0.9585243113394469
test_set\testing-images\1024.nii.gz,0.8365765701431785,0.9333780821232323,0.9577386974956505
test_set\testing-images\1025.nii.gz,0.8076525432411539,0.9199466036966826,0.9501298671181095
test_set\testing-images\1038.nii.gz,0.811095532229338,0.9419873529987676,0.9619077565534081
test_set\testing-images\1101.nii.gz,0.8531429704540948,0.9364935173723252,0.959623528246078
test_set\testing-images\1104.nii.gz,0.8264928137501852,0.9262001433006927,0.9577289228721505
test_set\testing-images\1107.nii.gz,0.7901755945765726,0.8881609221465356,0.9393434728661462
test_set\testing-images\1110.nii.gz,0.7972614151090748,0.9419861154433515,0.9657342625337777
test_set\testing-images\1113.nii.gz,0.7818644824236697,0.9365618396325726,0.9539460298125572
test_set\testing-images\1116.nii.gz,0.842301426988988,0.9170920900023196,0.9428323575920792
test_set\testing-images\1119.nii.gz,0.8259451726241821,0.9144278477948931,0.938254661600951
test_set\testing-images\1122.nii.gz,0.8684876711562399,0.9052098937261887,0.9307801690157449
test_set\testing-images\1125.nii.gz,0.7388509476585464,0.9134987775590125,0.9406955426691439
test_set\testing-images\1128.nii.gz,0.8328880018027879,0.8920790894847863,0.9377115873592444
