Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.13204733021775877,0.9142250823716465,0.9453380364639122
test_set\testing-images\1004.nii.gz,0.5799010114052077,0.9264609306704614,0.9470713997670547
test_set\testing-images\1005.nii.gz,0.8208814847234768,0.9029965926808504,0.9284263480776074
test_set\testing-images\1018.nii.gz,0.4055891709812239,0.9185591100964953,0.9447078741468989
test_set\testing-images\1024.nii.gz,0.5242699191829044,0.910205840489943,0.9398623918164538
test_set\testing-images\1025.nii.gz,0.7988855307895731,0.9052483912044819,0.9332602767625139
test_set\testing-images\1038.nii.gz,0.4402449876982673,0.918437651009885,0.9414050943516622
test_set\testing-images\1101.nii.gz,0.7043430355339271,0.9138659682521802,0.9422124122908818
test_set\testing-images\1104.nii.gz,0.5699162584926528,0.902748786052179,0.9390466192789381
test_set\testing-images\1107.nii.gz,0.013246787653993907,0.8816863196343175,0.9267065555909231
test_set\testing-images\1110.nii.gz,0.515892094017094,0.9235487444693975,0.9480910542506831
test_set\testing-images\1113.nii.gz,0.508993519375744,0.9277977729338808,0.942239296727488
test_set\testing-images\1116.nii.gz,0.7522705830998212,0.9101055379028598,0.9329268623375778
test_set\testing-images\1119.nii.gz,0.7720457097562586,0.8941845240270812,0.9141308915190139
test_set\testing-images\1122.nii.gz,0.7605817842420471,0.8866192853222269,0.9094771862111213
test_set\testing-images\1125.nii.gz,0.8036742049880821,0.8947425555481905,0.9122722737518939
test_set\testing-images\1128.nii.gz,0.7097464543509013,0.8421542625791268,0.8987165932975312
