Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.03130979067608909,0.8275606040151968,0.6923912158506069
test_set\testing-images\1004.nii.gz,0.4126779425623729,0.8973424228401216,0.9342450368030708
test_set\testing-images\1005.nii.gz,0.7498070720462235,0.8654154426182138,0.9205611849316899
test_set\testing-images\1018.nii.gz,0.0786046157361566,0.8926296510766661,0.9317886202213259
test_set\testing-images\1024.nii.gz,0.3513713020271421,0.9025979934936416,0.9418320524256663
test_set\testing-images\1025.nii.gz,0.7288031986852522,0.8587766891304678,0.9209713985628835
test_set\testing-images\1038.nii.gz,0.2717308481331692,0.9001182177453629,0.9343026985656109
test_set\testing-images\1101.nii.gz,0.5461876832844574,0.8652436682801009,0.9216018430681664
test_set\testing-images\1104.nii.gz,0.42836494240287326,0.883406265882211,0.9331832639538316
test_set\testing-images\1107.nii.gz,0.0,0.8425561222796323,0.9118271062832615
test_set\testing-images\1110.nii.gz,0.36535678503840585,0.9124518091679352,0.9434800281810359
test_set\testing-images\1113.nii.gz,0.0,0.8091356906164059,0.8906220159286176
test_set\testing-images\1116.nii.gz,0.6205429433243372,0.8687746524409958,0.9190808957326825
test_set\testing-images\1119.nii.gz,0.6818354912414318,0.8106775493557575,0.8890584196092742
test_set\testing-images\1122.nii.gz,0.6353529259674222,0.8757244926495182,0.9174595691762951
test_set\testing-images\1125.nii.gz,0.761542237570726,0.8377569930150321,0.9002029239741871
test_set\testing-images\1128.nii.gz,0.3953721340388007,0.6861581496505198,0.8014906519229752
