Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.03134653408115281,0.801572989605975,0.36105717696028516
test_set\testing-images\1004.nii.gz,0.016210858632208804,0.8167956781164328,0.6310873127468632
test_set\testing-images\1005.nii.gz,0.7641559254405695,0.883599535503231,0.9280826468991645
test_set\testing-images\1018.nii.gz,0.02143044607545906,0.8411204523955659,0.7424232288958755
test_set\testing-images\1019.nii.gz,0.03729356810672097,0.8343058319968851,0.6980831943271837
test_set\testing-images\1023.nii.gz,0.02679811254944028,0.83590163533412,0.6872591368775769
test_set\testing-images\1024.nii.gz,0.016813266465540884,0.8328110085494781,0.6645179407741573
test_set\testing-images\1025.nii.gz,0.8053415347351144,0.8720302233072086,0.9271135183439497
test_set\testing-images\1038.nii.gz,0.024795945585489462,0.8545675904122089,0.7757707649908672
test_set\testing-images\1039.nii.gz,0.03441868932688652,0.7980850848965712,0.593512691326634
test_set\testing-images\1101.nii.gz,0.7388658611870536,0.8717142435003236,0.9272433258943934
test_set\testing-images\1104.nii.gz,0.0,0.838148969961757,0.9151783070236987
test_set\testing-images\1107.nii.gz,0.05947616911467517,0.8130265480673469,0.47762907441948865
test_set\testing-images\1110.nii.gz,0.0,0.8292966942983692,0.9092335207998464
test_set\testing-images\1113.nii.gz,0.0,0.7914073891524449,0.8842723237540531
test_set\testing-images\1116.nii.gz,0.3288097966198797,0.861920930965355,0.8346883106219799
test_set\testing-images\1119.nii.gz,0.36670976876566663,0.7845585950475211,0.7606209377206072
test_set\testing-images\1122.nii.gz,0.3452206656449078,0.8697704628055775,0.8167492306259114
test_set\testing-images\1125.nii.gz,0.5481548079185292,0.8379751112888821,0.8447723573970698
test_set\testing-images\1128.nii.gz,0.20897072231790093,0.7373069340171257,0.6473666340633951
