Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.030853288341735882,0.7855753269287103,0.34267553867579986
test_set\testing-images\1004.nii.gz,0.016812205504974972,0.8164115510799143,0.6080443480016544
test_set\testing-images\1005.nii.gz,0.8824072396628623,0.883599535503231,0.9340516099084033
test_set\testing-images\1018.nii.gz,0.026764373900355642,0.8410392434975908,0.5515607705017672
test_set\testing-images\1019.nii.gz,0.034781785803387845,0.8345114180982677,0.5126329909089243
test_set\testing-images\1023.nii.gz,0.03009770461085458,0.8239765861383153,0.3510108285362483
test_set\testing-images\1024.nii.gz,0.03579829068759337,0.8059620584728948,0.2770190599162699
test_set\testing-images\1025.nii.gz,0.7760426151884903,0.8720276304371563,0.9241946816043216
test_set\testing-images\1038.nii.gz,0.049964221292617336,0.8365107224538862,0.30627427137700863
test_set\testing-images\1039.nii.gz,0.03320443432778727,0.7862187498275758,0.40049841897378696
test_set\testing-images\1101.nii.gz,0.17935036229655862,0.8717176925161861,0.7893029423237365
test_set\testing-images\1104.nii.gz,0.048697635716351766,0.8127658471406924,0.306066087337828
test_set\testing-images\1107.nii.gz,0.058494584516853104,0.8130383862446677,0.4616434719225329
test_set\testing-images\1110.nii.gz,0.07165253019874333,0.8560391756932395,0.44039285245997173
test_set\testing-images\1113.nii.gz,0.06611480903769826,0.7626223894483973,0.2811611639074858
test_set\testing-images\1116.nii.gz,0.23832761157430113,0.8687941580918962,0.7637509225525301
test_set\testing-images\1119.nii.gz,0.2706670857192501,0.7845585950475211,0.6545129736778094
test_set\testing-images\1122.nii.gz,0.246174018422987,0.8697970142901166,0.7191951871921491
test_set\testing-images\1125.nii.gz,0.5481548079185292,0.8379751112888821,0.8447723573970698
test_set\testing-images\1128.nii.gz,0.20897072231790093,0.808721674020335,0.664854537859248
