Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.021813680234023258,0.8922735209038961,2.601280870700733e-05
test_set\testing-images\1004.nii.gz,0.015443226166140123,0.8255358801492136,0.7031748139057253
test_set\testing-images\1005.nii.gz,0.7498070720462235,0.8654154426182138,0.9205611849316899
test_set\testing-images\1018.nii.gz,0.0,0.8611313379310696,0.9183744150915589
test_set\testing-images\1024.nii.gz,0.014216186060827578,0.8500967892731729,0.8101704923273831
test_set\testing-images\1025.nii.gz,0.7288031986852522,0.8587766891304678,0.9209713985628835
test_set\testing-images\1038.nii.gz,0.0,0.8624483388331785,0.91707881063141
test_set\testing-images\1101.nii.gz,0.5461876832844574,0.8652436682801009,0.9216018430681664
test_set\testing-images\1104.nii.gz,0.42836494240287326,0.883406265882211,0.9331832639538316
test_set\testing-images\1107.nii.gz,0.0,0.85171607729503,0.915215185955742
test_set\testing-images\1110.nii.gz,0.36535678503840585,0.907200462868589,0.9414017965924083
test_set\testing-images\1113.nii.gz,0.0,0.8003762889995386,0.8874427147470205
test_set\testing-images\1116.nii.gz,0.6205429433243372,0.8687746524409958,0.9190808957326825
test_set\testing-images\1119.nii.gz,0.6818354912414318,0.8106775493557575,0.8890584196092742
test_set\testing-images\1122.nii.gz,0.6353529259674222,0.8757244926495182,0.9174595691762951
test_set\testing-images\1125.nii.gz,0.761542237570726,0.8377569930150321,0.9002029239741871
test_set\testing-images\1128.nii.gz,0.579634571120119,0.7530074597499455,0.8760430960532947
