Image,CSF,WM,GM
test_set\testing-images\1003.nii.gz,0.6858480831812048,0.8218597986259799,0.9096046636566822
test_set\testing-images\1004.nii.gz,0.8939039741053767,0.9132795617466144,0.9414250261795125
test_set\testing-images\1005.nii.gz,0.8264988273233655,0.8793206810400135,0.9248745429968745
test_set\testing-images\1018.nii.gz,0.850328427412273,0.8476742931552286,0.9179200494193837
test_set\testing-images\1024.nii.gz,0.8767860035639073,0.907621162585426,0.9409450499183075
test_set\testing-images\1025.nii.gz,0.8091328744782597,0.87904416513488,0.933065935109888
test_set\testing-images\1038.nii.gz,0.8870788081314397,0.9038593328363987,0.939734329022166
test_set\testing-images\1101.nii.gz,0.8884702479496108,0.9001771259739155,0.9389033055910078
test_set\testing-images\1104.nii.gz,0.8696548443363814,0.8583870050892086,0.9271220597212119
test_set\testing-images\1107.nii.gz,0.8572432294328053,0.8344765420203389,0.9170424386185263
test_set\testing-images\1110.nii.gz,0.8557964633362687,0.8851761268741584,0.9381166255394514
test_set\testing-images\1113.nii.gz,0.835033676703645,0.905078911630568,0.9312179153078638
test_set\testing-images\1116.nii.gz,0.8557492709142545,0.8845277081110772,0.9210311352848298
test_set\testing-images\1119.nii.gz,0.8319144111644782,0.884339976263741,0.9214246065877533
test_set\testing-images\1122.nii.gz,0.8859073306050702,0.8792220473526404,0.9117777718396985
test_set\testing-images\1125.nii.gz,0.6948933246482079,0.8736782056990204,0.9311429211242428
test_set\testing-images\1128.nii.gz,0.8624019860131392,0.8316449795074188,0.9121687000003962
