Image,CSF,WM,GM
Image_1,0.046591576831619005,0.4940103216879106,0.5617090803818225
Image_2,0.24259108401921403,0.9152610027751776,0.8901303424503257
Image_3,0.5904408863414533,0.870053033493465,0.8567990773467463
Image_4,0.08870900607699107,0.7384706957881336,0.694631288900318
Image_5,0.08608542200167182,0.9183141300633992,0.8498115876202637
Image_6,0.06866125673001305,0.7978280018823983,0.7447178065636715
Image_7,0.19580108226590862,0.8819040807692654,0.8616670256808237
Image_8,0.45331682989266064,0.8984396169951007,0.851289847571282
Image_9,0.18722872321955625,0.9180883801223193,0.8716560875457017
Image_10,0.06617026245351824,0.8141988980738482,0.751365976979356
Image_11,0.2916708771220695,0.9108587299946518,0.8730128255064968
Image_12,0.10353508725681447,0.685678604996615,0.7025401757691739
Image_13,0.07333166290821014,0.6806685751459731,0.5919910072654124
Image_14,0.14332648000169568,0.8773499993661499,0.7909801717452706
Image_15,0.23149707566524788,0.8615594870488201,0.803509341896869
Image_16,0.35227897963257815,0.8478414154619244,0.7826654981060647
Image_17,0.42350160767574185,0.8709618333178979,0.7872336480420465
Image_18,0.42386934358678907,0.8083115957970605,0.7367020395758368
Image_19,0.48507285931356653,0.8977373321788517,0.8241723425534555
Image_20,0.23516972247051385,0.5214492577515848,0.6454792909322982
